"id","user_id","name","ip","port","type","active","login","password","created_at","updated_at"
"22","1","Рязань","212.26.234.124","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 12:00:26"
"23","1","Сургут","89.232.206.38","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-28 12:00:26"
"24","1","Магнитогорск","78.29.41.93","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 12:00:28"
"25","1","Волгоград","188.233.191.43","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-27 00:00:29"
"26","1","Курган","109.195.129.157","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 18:00:34"
"28","1","Благовещенск","176.123.194.66","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-28 12:00:32"
"29","1","Саратов","188.235.135.15","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-08 04:00:32"
"30","1","Омск","77.221.219.71","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-29 18:00:37"
"31","1","Воронеж","178.210.45.40","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-18 00:00:49"
"32","1","Южно-Сахалинск","188.113.165.206","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-29 05:00:38"
"33","1","Ростов-на-Дону","45.80.220.204","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 07:00:38"
"34","1","Белгород","194.186.35.42","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-03 13:00:40"
"35","1","Красноярск","80.253.227.36","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-24 09:00:57"
"36","1","Киров","109.194.195.227","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-09 19:02:59"
"37","1","Ставрополь","194.8.131.149","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-18 20:00:57"
"38","1","Томск","213.183.113.112","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-18 00:00:58"
"39","1","Иркутск","93.94.178.146","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-24 08:01:01"
"40","1","Тюмень2","92.255.167.135","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 08:00:51"
"41","1","Новокузнецк","31.135.32.69","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-18 00:01:03"
"42","1","Астрахань","213.108.172.244","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-22 15:01:09"
"43","1","Барнаул","46.229.64.156","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-25 23:01:20"
"44","1","Улан-Удэ","78.136.244.133","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 01:01:22"
"45","1","Оренбург","79.140.20.99","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-25 05:00:59"
"46","1","Чита","185.108.197.181","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 01:00:58"
"47","1","Питер2","178.238.25.122","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-25 10:01:15"
"48","1","Тула","195.218.178.166","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 07:01:14"
"49","1","Владивосток-2","194.165.30.98","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-23 22:01:39"
"50","1","Комсом.на Амуре ","87.225.88.233","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-08 22:01:03"
"51","1","Тверь","85.91.96.98","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-16 07:01:18"
"52","1","Калининград","213.33.237.214","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-12 21:01:31"
"53","1","Калуга","195.112.117.74","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-25 06:01:10"
"54","1","Хабаровск-2","212.19.21.92","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-01 15:01:36"
"55","1","Магадан","185.33.239.67","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-27 12:01:33"
"56","1","Архангельск","62.192.226.198","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-18 19:01:32"
"57","1","Благовещенск-2","91.142.146.79","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-20 06:01:31"
"58","1","Ярославль","178.57.125.101","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-29 18:01:20"
"59","1","Брянск","95.31.224.156","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-27 16:01:37"
"60","1","Мурманск","78.36.4.86","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-13 11:01:20"
"61","1","Петрозаводск","94.140.224.134","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 03:01:20"
"62","1","Южно-Сахалинск2","83.169.225.58","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 10:01:41"
"63","1","Нижневартовск","46.39.31.36","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-23 15:01:56"
"64","1","Орск","95.105.118.177","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-27 00:01:26"
"65","1","Сыктывкар","95.128.137.158","65056","https","0",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 08:01:43"
"66","1","Братск","87.103.175.4","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-06 15:01:28"
"67","1","Вологда","91.202.197.54","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 08:01:46"
"68","1","Бийск","91.244.112.14","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-29 12:03:19"
"69","1","Кемерово","212.75.215.70","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-05 16:02:01"
"70","1","Петропавловск","77.82.87.184","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-07 16:01:37"
"71","1","Рязань-2","92.39.141.246","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-24 01:02:00"
"72","1","Махачкала","81.163.61.135","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-19 08:01:41"
"73","1","Липецк","91.190.72.141","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-29 18:01:42"
"74","1","Пенза","94.181.183.77","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-28 21:01:37"
"75","1","Димитровград","94.198.4.237","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-21 14:01:39"
"76","1","Уссурийск","213.5.16.15","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-26 21:02:22"
"77","1","Стерлитамак","46.191.196.100","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-14 07:01:59"
"78","1","Норильск","193.47.40.225","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-28 22:01:56"
"79","1","Наб.Челны","81.23.153.155","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-27 23:01:59"
"80","1","Екат-3","62.168.241.242","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-21 13:01:48"
"81","1","Сочи-2","109.235.189.81","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-23 21:02:26"
"82","1","Йошкар-Ола","92.255.243.234","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-28 21:02:27"
"83","1","Находка","46.46.32.137","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-25 21:02:28"
"84","1","Тольятти","81.23.177.184","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-09 16:02:00"
"85","1","Курск","185.123.193.245","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-29 17:02:50"
"86","1","Иваново","109.60.133.13","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-19 18:02:22"
"87","1","Орел","95.107.3.159","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-11 17:02:36"
"89","1","Смоленск","91.203.179.72","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 20:01:58"
"90","1","Тамбов","37.235.154.129","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-10 17:02:57"
"91","1","Саранск","85.95.184.123","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-27 13:02:21"
"92","1","Кострома","176.214.80.216","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-24 01:02:18"
"93","1","Балашиха","77.51.212.206","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-29 20:02:15"
"94","1","Дзержинск","95.79.116.177","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-08-21 09:01:59"
"95","1","Таганрог","80.72.27.94","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 03:01:59"
"96","1","Вел. Новгород","185.141.235.72","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-13 07:02:29"
"97","1","Подольск","94.247.210.110","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-27 07:02:01"
"98","1","Новороссийск","185.105.171.169","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-20 16:02:35"
"99","1","Волжский","31.128.157.248","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 16:02:07"
"100","1","Владикавказ","185.46.49.84","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-28 18:02:10"
"101","1","Зеленоград","91.219.165.206","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-17 21:02:14"
"102","1","Череповец","178.57.102.174","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-20 23:02:34"
"103","1","Шахты","83.221.194.66","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-04 17:02:22"
"104","1","Абакан","176.116.185.45","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 11:02:56"
"105","1","Грозный","188.0.166.199","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-10 08:02:22"
"106","1","Симферополь","91.210.150.10","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-22 19:04:21"
"107","1","Севастополь","46.35.225.235","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-23 14:02:41"
"108","1","Москва-ВРЕЗЕРВ","31.13.22.174","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-09 13:02:38"
"109","1","Псков","89.23.4.127","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-19 15:02:35"
"110","1","Тюмень-ВРЕЗЕРВ","109.194.174.122","65056","https","0",NULL,NULL,"2023-04-25 06:24:01","2023-10-20 08:02:52"
"111","1","Керчь","81.162.63.60","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-28 04:02:37"
"112","1","Астрахань-ВРЕЗЕРВ","176.100.102.159","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-18 08:02:15"
"113","1","Кызыл","193.42.122.43","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-28 03:02:56"
"114","1","Н-Новгород-ВРЕЗЕРВ","95.172.49.211","65056","https","0",NULL,NULL,"2023-04-25 06:24:01","2023-10-07 11:02:26"
"115","1","Казань-ВРЕЗЕРВ","81.23.153.235","65056","https","0",NULL,NULL,"2023-04-25 06:24:01","2023-07-12 11:04:57"
"116","1","Стерлитамак-ВРЕЗЕРВ","95.105.53.50","65056","https","0",NULL,NULL,"2023-04-25 06:24:01","2023-10-18 10:03:02"
"117","1","Сургут-ВРЕЗЕРВ","188.19.200.104","65056","https","0",NULL,NULL,"2023-04-25 06:24:01","2023-07-12 11:05:13"
"118","1","Самара-ВРЕЗЕРВ","5.164.186.150","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-08-30 21:03:28"
"119","1","Москва-ВРЕЗЕРВ","31.13.22.174","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-18 08:03:00"
"120","1","Нальчик","85.173.112.94","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-18 13:04:08"
"121","1","Алматы","79.142.55.133","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-16 23:03:33"
"122","1","Каменск-Уральский","46.48.1.170","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-17 14:02:53"
"123","1","Нижнекамск","95.78.114.149","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-11 17:03:34"
"124","1","Астана","185.215.160.120","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-29 18:03:30"
"125","1","Чебоксары 2","37.113.204.38","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-28 10:03:10"
"126","1","Тольятти-ВРЕЗЕРВ","217.113.127.40","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-04 17:03:19"
"127","1","Москва-4","195.72.142.11","65056","https","0",NULL,NULL,"2023-04-25 06:24:01","2023-09-25 06:03:54"
"128","1","Питер-ВРЕЗЕРВ","31.28.15.155","65056","https","0",NULL,NULL,"2023-04-25 06:24:01","2023-09-25 06:04:09"
"129","1","Москва 3","62.76.87.72","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-20 09:04:24"
